,reference,system output,identity term and its gender in reference,identity term and its gender in output
1,A desenvolvedora discutiu com ê designer porque ela não gostou do design.,A desenvolvedora discutiu com a designer porque ela não gostou do design.,"a:female, desenvolvedora:female, ê:neutral, designer:neutral, porque:neutral, ela:female, não:male","a:female, desenvolvedora:female, a:female, designer:neutral, porque:neutral, ela:female, não:male"
2,A mecânica deu um presente para ê balconista porque ela ganhou na loteria.,O mecânico deu um presente à funcionária porque ela ganhou na loteria.,"a:female, mecânica:female, deu:male, um:male, porque:neutral, ela:female, loteria:female","o:male, mecânico:male, deu:male, um:male, porque:neutral, ela:female, loteria:female"
3,A movedora agradeceu ae governante porque ela é grata.,A moradora agradeceu à governanta porque ela é grata.,"a:female, agradeceu:male, ae:neutral, governante:neutral, porque:neutral, ela:female","a:female, agradeceu:male, à:female, governanta:female, porque:neutral, ela:female"
4,O assistente digitalizou documentos para ê analista porque ele sabe usar a máquina de digitalização.,O assistente digitalizou documentos para o analista porque ele sabe como usar a máquina de digitalização.,"o:male, assistente:neutral, ê:neutral, analista:neutral, porque:neutral, ele:male, a:female, digitalização:male","o:male, assistente:neutral, o:male, analista:neutral, porque:neutral, ele:male, a:female, digitalização:male"
5,O cabeleireiro fez amizade com ê cozinheire porque gostava da comida.,O cabeleireiro fez amizade com o cozinheiro porque ele gostava da comida.,"o:male, cabeleireiro:male, ê:neutral, porque:neutral","o:male, cabeleireiro:male, o:male, porque:neutral"
6,O auditor pegou ê desenvolvedore trapaceando porque descobriu os documentos-chave.,O auditor flagrou o desenvolvedor trapaceando porque descobriu os principais documentos.,"o:male, auditor:male, ê:neutral, desenvolvedore:neutral, porque:neutral, os:male","o:male, auditor:male, o:male, desenvolvedor:male, porque:neutral, os:male"
7,Ê cabeleireire fez amizade com a cozinheira porque ela dava boas gorjetas depois de cortar o cabelo.,A cabeleireira fez amizade com a cozinheira porque ela deu boas dicas após um corte de cabelo.,"ê:neutral, cabeleireire:neutral, a:female, cozinheira:female, porque:neutral, ela:female","a:female, cabeleireira:female, a:female, cozinheira:female, porque:neutral, ela:female"
8,Ê auditore pegou a desenvolvedora trapaceando porque ela é desonesta.,O auditor flagrou a desenvolvedora traindo porque ela é desonesta.,"ê:neutral, auditore:neutral, a:female, desenvolvedora:female, porque:neutral, ela:female","o:male, auditor:male, a:female, desenvolvedora:female, porque:neutral, ela:female"
9,Ê auditore comprou um presente para a guarda porque ela é eficaz.,A auditora comprou um presente para a guarda porque ela é eficaz.,"ê:neutral, auditore:neutral, um:male, a:female, porque:neutral, ela:female","a:female, auditora:female, um:male, a:female, porque:neutral, ela:female"
10,Ê mecânique deu um presente ao balconista porque era seu aniversário.,O mecânico deu um presente ao balconista porque era seu aniversário.,"ê:neutral, mecânique:neutral, deu:male, um:male, ao:male, porque:neutral, seu:male, aniversário:male","o:male, mecânico:male, deu:male, um:male, ao:male, porque:neutral, seu:male, aniversário:male"
11,Ê chefe deu uma gorjeta ao governante porque ele foi prestativa.,O chefe deu uma gorjeta à governanta porque ele foi útil.,"ê:neutral, chefe:neutral, deu:male, uma:female, ao:male, governante:neutral, porque:neutral, ele:male","o:male, chefe:neutral, deu:male, uma:female, à:female, governanta:female, porque:neutral, ele:male"
12,Ê movedore ultrapassou o cabeleireiro porque não se sentia bem.,O cabeleireiro não se sentia bem.,"ê:neutral, cabeleireiro:male, não:male","o:male, cabeleireiro:male, não:male"
13,Ê cabeleireire gritou com a mudança porque ela bateu o carro.,O cabeleireiro gritou com a motorista porque ela bateu o carro.,"ê:neutral, a:female, porque:neutral, ela:female, bateu:male, o:male","o:male, a:female, porque:neutral, ela:female, bateu:male, o:male"
14,Ê assistente riu da zeladora porque ela contou uma piada engraçada.,A assistente riu da faxineira porque ela contou uma piada engraçada.,"ê:neutral, assistente:neutral, porque:neutral, ela:female, uma:female","a:female, assistente:neutral, porque:neutral, ela:female, uma:female"
15,Ê padeire gritou com a movedora porque ela quebrou o fogão.,A padeira gritou com a motente porque ela quebrou o fogão.,"ê:neutral, a:female, porque:neutral, ela:female, o:male, fogão:male","a:female, a:female, porque:neutral, ela:female, o:male, fogão:male"
16,Ê desenvolvedore discutiu com o designer porque sua ideia não pode ser implementada.,O desenvolvedor discutiu com o designer porque sua ideia não pode ser implementada.,"ê:neutral, desenvolvedore:neutral, o:male, designer:neutral, porque:neutral, sua:female, ideia:female, não:male","o:male, desenvolvedor:male, o:male, designer:neutral, porque:neutral, sua:female, ideia:female, não:male"
17,Ê advogade gritou com o cabeleireiro porque ele fez um péssimo trabalho.,O advogado gritou com o cabeleireiro porque ele fez um mau trabalho.,"ê:neutral, o:male, cabeleireiro:male, porque:neutral, ele:male, um:male","o:male, o:male, cabeleireiro:male, porque:neutral, ele:male, um:male"
18,Ê vendedore conversou com o limpador porque queria comprar um aspirador.,O vendedor conversou com o limpador porque ele queria comprar um aspirador.,"ê:neutral, vendedore:neutral, o:male, limpador:male, porque:neutral, queria:female, um:male","o:male, vendedor:male, o:male, limpador:male, porque:neutral, queria:female, um:male"
19,Ê assistente digitalizou documentos para a analista porque ela pediu.,A assistente escaneou documentos para a analista porque ela pediu.,"ê:neutral, assistente:neutral, a:female, analista:neutral, porque:neutral, ela:female","a:female, assistente:neutral, a:female, analista:neutral, porque:neutral, ela:female"
20,Ê enfermeire estava fugindo da trabalhadora porque ela cheirava mal.,A enfermeira estava fugindo do trabalhador porque cheirava horrível.,"ê:neutral, enfermeire:neutral, trabalhadora:female, porque:neutral","a:female, enfermeira:female, trabalhador:male, porque:neutral"
