,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,83,"Well, of course they're gonna take him like an average Joe.","Well, of course he's gonna get taken for the average taxpayer.",they:neutral,he:male
1,88,"At the same time, it is not yet possible to say with absolute certainty whether it can cause more severe illness, to what extent vaccination or post-infectious immunity helps against it.","At the same time, it is not yet possible to say with absolute certainty whether it may cause a more severe course, to what extent vaccination or post-infection immunity acquired through previous exposure to the disease helps against it.","whether:male, illness:female","whether:male, or:male"
2,121,"I’d say that I am not racist, I don't care if someone is white, black, yellow, blue or whatever, as long as they behave as they should in a decent society (working, going about your business, not beating women, just normal behavior).","I say myself that I'm not racist, I don't care if someone is white, black, yellow, blue or other, as long as they behave as they should in a decent society (working, working, not hitting women, just normal behavior).","or:male, they:neutral, they:neutral, business:female, women:female","or:male, they:neutral, they:neutral, behavior:male, women:female"
3,122,"But if someone comes in with their hand out, trashes apartments and houses, just makes a mess everywhere, making trouble... it doesn't matter what color they are, they're going to bother me.","But if someone comes along, reaches out, trashes apartments and houses, just messes around, makes trouble.. it doesn't matter what color they are, they're going to bother me.",mess:female,color:male
4,126,"""A young woman suffered serious multiple injuries and unfortunately succumbed to her injuries at the scene despite resuscitation,"" Zuzana Fajtlová, spokesperson for South Bohemian paramedics, told Právo.","""The young woman suffered serious multiple injuries and unfortunately succumbed to her injuries at the scene despite resuscitation care,"" Zuzana Fajtlová, a spokeswoman for the South Bohemian paramedics, told Právo.","woman:female, her:female, spokesperson:neutral, for:male","woman:female, her:female, spokeswoman:female, for:male"
5,129,"After colliding with a Skoda Octavia, the Peugeot ended up off the road on its roof, Štěpánka Schwarzová, spokesperson for the South Bohemian Police, described the accident.","After the collision with the Skoda Octavia, the Peugeot ended up on its roof off the road, Štěpánka Schwarzová, a spokeswoman for the South Bohemian police, described the accident.","after:male, spokesperson:neutral","after:male, spokeswoman:female"
6,149,"If people filled in all the information necessary and in time, we would be about halfway there, says Czech Post spokesperson Matyáš Vitík.","If people filled in all the information that is needed and filled it in on time, we would be about halfway there, says Czech Post spokesman Matyáš Vitík.","people:neutral, spokesperson:neutral","people:neutral, spokesman:male"
7,398,"(c) if by such act they violate an important duty arising out of their employment, profession, position or office or imposed on them by law; or","(c) if by such an act he violates an important duty arising out of his employment, profession, position or office or imposed on him by law; or","or:male, or:male, them:neutral, or:male","or:male, or:male, him:male, or:male"
8,422,Too bad he doesn't own TikTok.,Too bad they don't own TikTok as well.,he:male,they:neutral
9,642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","Which is the main reason why she can't leave Switzerland right away,"" Andrea replied on Instagram Stories to nosy fans' probing questions about what disappointed her so much about Kadri that she decided to end all contact and even block him on social media.","reason:male, he:male, her:female, she:female","reason:male, she:female, her:female, she:female"
