,System,Score
rank 1,refA,0.6405574318272835
rank 2,Online-Y,0.3401015635188434
rank 3,Online-B,0.3334560291618644
rank 4,chrf_bestmbr,0.327696611861244
rank 5,bleu_bestmbr,0.3276432083549067
rank 6,comet_bestmbr,0.3244469810650807
rank 7,Online-W,0.3097706884201196
rank 8,Lan-Bridge,0.30804896355893835
rank 9,Online-G,0.3046615842762006
rank 10,Online-A,0.3020690706648187
rank 11,JDExploreAcademy,0.29191410914498667
rank 12,PROMT,0.2902940783430261
rank 13,SRPOL,0.2897436007639015
rank 14,eTranslation,0.271717135383513
rank 15,HuaweiTSC,0.26972073602669216
rank 16,M2M100_1.2B-B4,0.23908317889532307
rank 17,QUARTZ_TuneReranking,0.23174895352697925
