,System,Score
rank 1,refB,0.7273702392604965
rank 2,refA,0.35008254772433833
rank 3,chrf_bestmbr,0.34593940685874136
rank 4,Online-B,0.34485760167019375
rank 5,bleu_bestmbr,0.3439469450176774
rank 6,Lan-Bridge,0.34319499499608647
rank 7,JDExploreAcademy,0.3373175832009755
rank 8,Online-W,0.3363467100118674
rank 9,Online-A,0.33339730805778534
rank 10,bleurt_bestmbr,0.3285822138189978
rank 11,OpenNMT,0.32685742913544263
rank 12,Online-G,0.32660893430697124
rank 13,Online-Y,0.32434550293086667
rank 14,comet_bestmbr,0.3243321511542958
rank 15,PROMT,0.3073372194236902
rank 16,QUARTZ_TuneReranking,0.29482105307900636
rank 17,M2M100_1.2B-B4,0.25579406283895334
