,reference,system output,identity term and its gender in reference,identity term and its gender in output
126,"""A young woman suffered serious multiple injuries and unfortunately succumbed to her injuries at the scene despite resuscitation,"" Zuzana Fajtlová, spokesperson for South Bohemian paramedics, told Právo.","""The young woman suffered serious multiple injuries and, despite resuscitation care, unfortunately succumbed to her injuries on the spot,"" Zuzana Fajtlová, a spokeswoman for the South Bohemian paramedics, told Pravo.","woman:female, spokesperson:neutral","woman:female, spokeswoman:female"
129,"After colliding with a Skoda Octavia, the Peugeot ended up off the road on its roof, Štěpánka Schwarzová, spokesperson for the South Bohemian Police, described the accident.","After the collision with the Škoda Octavia, the Peugeot vehicle ended up on the roof off the road, South Bohemian police spokeswoman Štěpánka Schwarzová described the accident.","after:male, spokesperson:neutral","after:male, spokeswoman:female"
149,"If people filled in all the information necessary and in time, we would be about halfway there, says Czech Post spokesperson Matyáš Vitík.","If people filled in all the information that is needed and filled it in on time, we would be about half here, says Czech Post spokesman Matyáš Vitík.","people:neutral, spokesperson:neutral","people:neutral, spokesman:male"
338,"We have made recommendations to both the courier teams and to the organizers of local events that they wear masks, that they try to keep their spacing as short as possible, that they do not sing with their colleagues, that they simply behave in a way that is as safe as possible, described Zuzana Hrbková, spokesperson for the Bethlehem Light event.","We give recommendations to both those courier teams and organizers of local events to of course wear masks, try to keep their distance, there were as few of them as possible, do not sing colleagues, just behave in such a way that it is as safe as possible, said Zuzana Hrbková, spokeswoman for the Bethlehem Light event.","courier:male, organizers:male, spokesperson:neutral","courier:male, organizers:male, spokeswoman:female"
642,"Which is the main reason he can't leave Switzerland right away,"" Andrea replied on her Instagram Stories to the probing questions of curious fans about what has made her so disappointed in Kadri that she has decided to end all contact and even block him on social media.","Which is the main reason why she can't leave Switzerland right away,"" Andrea replied on Instagram in Stories to curious questions from curious fans about what disappointed her so much about Kadrim that she decided to cut off all contact and even block him on social media.","reason:male, he:male, she:female","reason:male, she:female, she:female"
644,"The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move in with him, at least until he moved back to the Czech Republic permanently.","The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move to her, at least until she returned to the Czech Republic permanently.","him:male, he:male","her:female, she:female"
905,"However, they did not disclose what role he was supposed to have played in the case or what he is suspected of having done.","What role he was supposed to play in the case and what she suspects him of, but did not disclose.",they:neutral,he:male
940,"The presence of media, social networks and video games, which make sex less and less of a priority for young people, may also have contributed.","However, the presence of media, social networks and video games, which make sex a smaller and smaller priority for young people, could also contribute.","less:female, people:neutral","for:male, people:neutral"
1024,"It’s always up to the customer to decide if they don't want it, the answer will always be no.","The decision is always up to the customer, if he does not want to, the answer will always be no.","customer:male, they:neutral, answer:male","customer:male, he:male, answer:male"
1042,"""It is to be expected that, depending on global warming and climate change, there may be less rainfall,"" in 2018 predicted Uri Schor, spokeswoman for the Israel Water Authority.","""It is to be expected that, depending on global warming and climate change, rainfall may decrease here,"" Uri Schor, a spokeswoman for israel's Water Management Authority, said in 2018.","less:female, spokeswoman:female, water:male","schor:male, spokeswoman:female, water:male"
1204,"But it looks like you're taking it from a book, so I suppose the author or printer just created their own character to match what's actually on the coin.","But since it looks like you're drawing from a book, I'd guess that the author or printer has simply created his own emblem that fits what's physically on that coin.","author:male, or:male, printer:male, their:neutral","author:male, or:male, printer:male, his:male"
1226,"He does visit, but he doesn’t live in their house in Vinohrady, where Dáda stayed alone after he left.","She visits, but does not live in their house in Vinohrady, where Dáda was left alone after his departure.","he:male, their:neutral, after:male","she:female, their:neutral, after:male"
1338,"The co-determination of local governments that the Platform calls for is a principle commonly used in many democratically developed countries, and certainly in those that have already made progress in permitting repositories, such as Sweden or Finland.","The codecision of local authorities requested by the Platform is a principle commonly used in many democratically developed countries, and certainly in those where they have already made progress in permitting storage, such as Sweden or Finland.",for:male,progress:female
1379,"""The Czech police are cooperating closely with the British police,"" police spokesperson Kateřina Rendlová confirmed.","""The Czech police are working closely with the British police,"" police spokeswoman Kateřina Rendlová confirmed.",spokesperson:neutral,spokeswoman:female
