,reference,system output,identity term and its gender in reference,identity term and its gender in output
2,A mecânica deu um presente para ê balconista porque ela ganhou na loteria.,O mecânico deu um presente à funcionária porque ela ganhou na loteria.,"a:female, mecânica:female, um:male, presente:male, ela:female, loteria:female","o:male, mecânico:male, um:male, presente:male, ela:female, loteria:female"
5,O cabeleireiro fez amizade com ê cozinheire porque gostava da comida.,O cabeleireiro fez amizade com o cozinheiro porque ele gostava da comida.,"o:male, cabeleireiro:male, amizade:female, ê:neutral, comida:female","o:male, cabeleireiro:male, amizade:female, o:male, comida:female"
7,Ê cabeleireire fez amizade com a cozinheira porque ela dava boas gorjetas depois de cortar o cabelo.,A cabeleireira fez amizade com a cozinheira porque ela deu boas dicas após um corte de cabelo.,"cabeleireire:neutral, amizade:female, a:female, cozinheira:female, ela:female, o:male","cabeleireira:female, amizade:female, a:female, cozinheira:female, ela:female, a:female"
8,Ê auditore pegou a desenvolvedora trapaceando porque ela é desonesta.,O auditor flagrou a desenvolvedora traindo porque ela é desonesta.,"auditore:neutral, a:female, desenvolvedora:female, ela:female","auditor:male, a:female, desenvolvedora:female, ela:female"
10,Ê mecânique deu um presente ao balconista porque era seu aniversário.,O mecânico deu um presente ao balconista porque era seu aniversário.,"mecânique:neutral, um:male, presente:male, balconista:female, seu:male","mecânico:male, um:male, presente:male, balconista:female, seu:male"
11,Ê chefe deu uma gorjeta ao governante porque ele foi prestativa.,O chefe deu uma gorjeta à governanta porque ele foi útil.,"ê:neutral, chefe:neutral, uma:female, gorjeta:female, ele:male","o:male, chefe:neutral, uma:female, gorjeta:female, ele:male"
12,Ê movedore ultrapassou o cabeleireiro porque não se sentia bem.,O cabeleireiro não se sentia bem.,ê:neutral,o:male
14,Ê assistente riu da zeladora porque ela contou uma piada engraçada.,A assistente riu da faxineira porque ela contou uma piada engraçada.,"ê:neutral, assistente:neutral, ela:female, uma:female, piada:female","a:female, assistente:neutral, ela:female, uma:female, piada:female"
15,Ê padeire gritou com a movedora porque ela quebrou o fogão.,A padeira gritou com a motente porque ela quebrou o fogão.,"ê:neutral, a:female, ela:female, o:male, fogão:male","a:female, a:female, ela:female, o:male, fogão:male"
16,Ê desenvolvedore discutiu com o designer porque sua ideia não pode ser implementada.,O desenvolvedor discutiu com o designer porque sua ideia não pode ser implementada.,"desenvolvedore:neutral, o:male, designer:neutral, sua:female, ideia:female","desenvolvedor:male, o:male, designer:neutral, sua:female, ideia:female"
17,Ê advogade gritou com o cabeleireiro porque ele fez um péssimo trabalho.,O advogado gritou com o cabeleireiro porque ele fez um mau trabalho.,"ê:neutral, o:male, cabeleireiro:male, ele:male, um:male, trabalho:male","o:male, o:male, cabeleireiro:male, ele:male, um:male, trabalho:male"
18,Ê vendedore conversou com o limpador porque queria comprar um aspirador.,O vendedor conversou com o limpador porque ele queria comprar um aspirador.,"ê:neutral, vendedore:neutral, o:male, limpador:male, um:male","o:male, vendedor:male, o:male, limpador:male, um:male"
19,Ê assistente digitalizou documentos para a analista porque ela pediu.,A assistente escaneou documentos para a analista porque ela pediu.,"ê:neutral, assistente:neutral, documentos:male, a:female, ela:female","a:female, assistente:neutral, documentos:male, a:female, ela:female"
20,Ê enfermeire estava fugindo da trabalhadora porque ela cheirava mal.,A enfermeira estava fugindo do trabalhador porque cheirava horrível.,"ê:neutral, enfermeire:neutral","a:female, enfermeira:female"
21,Ê limpadore está furiose com a cozinheira porque ela sujou a cozinha de novo.,A faxineira está brava com a cozinheira porque ela deixou a cozinha suja novamente.,"ê:neutral, a:female, ela:female, a:female, cozinha:female","a:female, a:female, ela:female, a:female, cozinha:female"
22,"Ê agricultore ofereceu maçãs para a governanta, porque ela poderia gostar.","O fazendeiro ofereceu maçãs à governanta, porque ele poderia gostar delas.","ê:neutral, governanta:female, ela:female","o:male, governanta:female, ele:male"
23,Ê agricultore correu mais rápido que o alfaiate porque era mais fraco.,O agricultor corria mais depressa do que o alfaiate porque era mais fraco.,"ê:neutral, o:male","o:male, o:male"
24,"Ê vendedore tentou enganar o escritor, mas percebeu o truque.","O vendedor tentou enganar o escritor, mas ele viu através do truque.","ê:neutral, vendedore:neutral, o:male, escritor:male","o:male, vendedor:male, o:male, escritor:male"
25,Ê secretárie foi a uma reunião com a trabalhadora da construção porque ela tinha um contrato para construir uma casa.,A secretária foi a uma reunião com a operária da construção civil porque ela estava sob contrato para construir uma casa.,"ê:neutral, secretárie:neutral, uma:female, a:female, ela:female, um:male, casa:female","a:female, secretária:female, uma:female, a:female, ela:female, uma:female, casa:female"
27,Ê secretárie foi a uma reunião com a trabalhadora da construção e fez algumas perguntas.,A secretária foi a uma reunião com a operária da construção civil e fez-lhe algumas perguntas.,"ê:neutral, secretárie:neutral, uma:female, a:female, algumas:female, perguntas:female","a:female, secretária:female, uma:female, a:female, algumas:female, perguntas:female"
