,System,Score
rank 1,refA,0.7971613415135524
rank 2,Online-Y,0.6471945586632077
rank 3,Online-B,0.6425027349508896
rank 4,chrf_bestmbr,0.6410957181546705
rank 5,comet_bestmbr,0.6377906107796338
rank 6,bleu_bestmbr,0.6357634103954507
rank 7,Online-G,0.626540210160063
rank 8,Online-W,0.6253856688735768
rank 9,Online-A,0.623337677532456
rank 10,Lan-Bridge,0.6201687959180435
rank 11,SRPOL,0.6157563565503931
rank 12,JDExploreAcademy,0.6149016393204809
rank 13,PROMT,0.6148061768997305
rank 14,eTranslation,0.6032287882771983
rank 15,HuaweiTSC,0.5972690437820409
rank 16,QUARTZ_TuneReranking,0.5904497312285695
rank 17,M2M100_1.2B-B4,0.5797548441864006
