,reference,system output,identity term and its gender in reference,identity term and its gender in output
88,"At the same time, it is not yet possible to say with absolute certainty whether it can cause more severe illness, to what extent vaccination or post-infectious immunity helps against it.","At the same time, it is not yet possible to say with absolute certainty whether it can cause a more serious course, how much vaccination or post-infectious immunity acquired by previously experiencing the disease helps against it.","whether:male, illness:female","whether:male, or:male"
126,"""A young woman suffered serious multiple injuries and unfortunately succumbed to her injuries at the scene despite resuscitation,"" Zuzana Fajtlová, spokesperson for South Bohemian paramedics, told Právo.","""The young woman suffered serious multiple injuries and, despite resuscitation care, she unfortunately succumbed to her injuries on the spot,"" Zuzana Fajtlová, a spokeswoman for South Bohemian medical rescuers, told Práv.","woman:female, spokesperson:neutral","woman:female, spokeswoman:female"
129,"After colliding with a Skoda Octavia, the Peugeot ended up off the road on its roof, Štěpánka Schwarzová, spokesperson for the South Bohemian Police, described the accident.","After the collision with the Škoda Octavia, the Peugeot vehicle ended up on its roof off the road, described the accident by South Bohemian Police spokeswoman Štěpánka Schwarzová.","after:male, spokesperson:neutral","after:male, spokeswoman:female"
149,"If people filled in all the information necessary and in time, we would be about halfway there, says Czech Post spokesperson Matyáš Vitík.","If people filled in all the data that is needed and filled it in on time, we would be about halfway there, says Czech Post spokesman Matyáš Vitík.","people:neutral, spokesperson:neutral","people:neutral, spokesman:male"
338,"We have made recommendations to both the courier teams and to the organizers of local events that they wear masks, that they try to keep their spacing as short as possible, that they do not sing with their colleagues, that they simply behave in a way that is as safe as possible, described Zuzana Hrbková, spokesperson for the Bethlehem Light event.","We advise both the courier teams and the organizers of local events to of course wear masks, try to keep the distance, there should be as few of them as possible, not to sing to colleagues, simply behave in such a way as to make it as safe as possible, described Zuzana Hrbková, the spokeswoman for the Bethlehem Light event.","courier:male, organizers:male, spokesperson:neutral","courier:male, organizers:male, spokeswoman:female"
644,"The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move in with him, at least until he moved back to the Czech Republic permanently.","The main problem was the fact that Kadri lived and worked in Switzerland and his idea was that Andrea would move in with her, that is, at least until she returned to Bohemia permanently.","him:male, he:male","her:female, she:female"
905,"However, they did not disclose what role he was supposed to have played in the case or what he is suspected of having done.",She did not disclose what role he was supposed to play in the case and what she suspects him of.,they:neutral,she:female
1024,"It’s always up to the customer to decide if they don't want it, the answer will always be no.","The decision is always up to the customer, if he doesn't want it, the answer will always be no.","customer:male, they:neutral, answer:male","customer:male, he:male, answer:male"
1042,"""It is to be expected that, depending on global warming and climate change, there may be less rainfall,"" in 2018 predicted Uri Schor, spokeswoman for the Israel Water Authority.","""It can be expected that, depending on global warming and climate change, precipitation here may decrease,"" predicted in 2018 the spokeswoman for the Israel Water Management Authority, Uri Schor.","less:female, spokeswoman:female, water:male","for:male, spokeswoman:female, water:male"
1204,"But it looks like you're taking it from a book, so I suppose the author or printer just created their own character to match what's actually on the coin.","But since it seems that you are drawing from a book, I would guess that the author or printer simply created his own character that matches what is physically on the coin.","author:male, or:male, printer:male, their:neutral","author:male, or:male, printer:male, his:male"
1379,"""The Czech police are cooperating closely with the British police,"" police spokesperson Kateřina Rendlová confirmed.","""The Czech police closely cooperates with the British police,"" confirmed police spokeswoman Kateřina Rendlová.",spokesperson:neutral,spokeswoman:female
