,line,reference,system output,identity term and its gender in reference,identity term and its gender in output
0,1,O desenvolvedor discutiu com ê designer porque ele não gostou do design.,O desenvolvedor discutiu com o designer porque ele não gostou do design.,"o:male, desenvolvedor:male, ê:neutral, designer:neutral, porque:neutral, ele:male, não:male","o:male, desenvolvedor:male, o:male, designer:neutral, porque:neutral, ele:male, não:male"
1,2,O mecânico deu um presente ae balconista porque ele ganhou na loteria.,O mecânico deu um presente ao balconista porque ele ganhou na loteria.,"o:male, mecânico:male, deu:male, um:male, ae:neutral, porque:neutral, ele:male, loteria:female","o:male, mecânico:male, deu:male, um:male, ao:male, porque:neutral, ele:male, loteria:female"
2,3,O movedor agradeceu ae governante porque está agradecido.,O carregador agradeceu à governanta porque está agradecido.,"o:male, agradeceu:male, ae:neutral, porque:neutral","o:male, agradeceu:male, à:female, porque:neutral"
3,4,A assistente digitalizou documentos para ê analista porque ela sabe usar a máquina de digitalização.,A assistente digitalizou documentos para o analista porque ela sabe usar a máquina de digitalização.,"a:female, assistente:neutral, ê:neutral, analista:neutral, porque:neutral, ela:female, a:female, digitalização:male","a:female, assistente:neutral, o:male, analista:neutral, porque:neutral, ela:female, a:female, digitalização:male"
4,5,A cabeleireira fez amizade com ê cozinheire porque gostava da comida.,A cabeleireira fez amizade com a cozinheira porque gostava da comida.,"a:female, cabeleireira:female, ê:neutral, cozinheire:neutral, porque:neutral","a:female, cabeleireira:female, a:female, cozinheira:female, porque:neutral"
5,6,A auditora pegou ê desenvolvedore trapaceando porque descobriu os documentos-chave.,O auditor pegou o desenvolvedor trapaceando porque descobriu os documentos-chave.,"a:female, auditora:female, ê:neutral, desenvolvedore:neutral, porque:neutral, os:male","o:male, auditor:male, o:male, desenvolvedor:male, porque:neutral, os:male"
6,7,Ê cabeleireire fez amizade com o cozinheiro porque dava boas gorjetas depois de cortar o cabelo.,O cabeleireiro fez amizade com o cozinheiro porque dava boas gorjetas depois de cortar o cabelo.,"ê:neutral, o:male, cozinheiro:male, porque:neutral","o:male, o:male, cozinheiro:male, porque:neutral"
7,8,Ê auditore pegou o desenvolvedor trapaceando porque ele é desonesto.,O auditor pegou o desenvolvedor trapaceando porque ele é desonesto.,"ê:neutral, auditore:neutral, o:male, desenvolvedor:male, porque:neutral, ele:male","o:male, auditor:male, o:male, desenvolvedor:male, porque:neutral, ele:male"
8,9,Ê auditore comprou um presente para o guarda porque ele é eficaz.,O auditor comprou um presente para o guarda porque ele é eficaz.,"ê:neutral, auditore:neutral, um:male, o:male, porque:neutral, ele:male","o:male, auditor:male, um:male, o:male, porque:neutral, ele:male"
9,10,Ê mecânique deu um presente para a balconista porque era aniversário dela.,O mecânico deu um presente para a balconista porque era aniversário dela.,"ê:neutral, mecânique:neutral, deu:male, um:male, porque:neutral, aniversário:male","o:male, mecânico:male, deu:male, um:male, porque:neutral, aniversário:male"
